GeneID,Symbol,TaxID,PathwaySource,PathwayID,PathwayName
108058,Camk2d,10090,kegg,mmu04728,Dopaminergic synapse - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04740,Olfactory transduction - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04750,Inflammatory mediator regulation of TRP channels - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04911,Insulin secretion - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04912,GnRH signaling pathway - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04916,Melanogenesis - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04921,Oxytocin signaling pathway - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04922,Glucagon signaling pathway - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04925,Aldosterone synthesis and secretion - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04934,Cushing syndrome - Mus musculus (mouse)
